School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609755,Whitney M Young Magnet High School,"2,259",686,698,403,4,468,Nan,Nan,Nan,Nan
609756,Marie Sklodowska Curie Metropolitan High School,"3,473",189,498,182,2,"2,602",Nan,Nan,Nan,Nan
609759,Roberto Clemente Community Academy High School,"1,858",44,623,2,2,"1,187",Nan,Nan,Nan,Nan
609760,George Washington Carver Military Academy HS,504,5,250,1,0,248,Nan,Nan,Nan,Nan
609761,George H Corliss High School,"1,032",1,"1,016",1,0,14,Nan,Nan,Nan,Nan
609762,Percy L Julian High School,"1,748",5,"1,735",2,0,6,Nan,Nan,Nan,Nan
609763,George W Collins High School,151,0,150,0,0,1,Nan,Nan,Nan,Nan
609764,Benito Juarez Community Academy High School,"1,560",22,55,15,3,"1,465",Nan,Nan,Nan,Nan
609765,Bartholome De Las Casas Occupational High School,82,0,78,0,0,4,Nan,Nan,Nan,Nan
609766,Jacqueline B Vaughn Occupational High School,215,28,86,1,0,100,Nan,Nan,Nan,Nan
609768,Hope College Preparatory High School,948,1,940,0,0,7,Nan,Nan,Nan,Nan
609769,Ray Graham Training Center High School,185,9,102,6,0,68,Nan,Nan,Nan,Nan
609771,Robert Sengstacke Abbott Elementary School,115,2,102,4,0,7,Nan,Nan,Nan,Nan
609772,Jane Addams Elementary School,880,37,16,0,0,827,Nan,Nan,Nan,Nan
609773,Louis A Agassiz Elementary School,349,102,121,8,3,115,Nan,Nan,Nan,Nan
609774,Louisa May Alcott Elementary School,488,265,93,30,2,98,Nan,Nan,Nan,Nan
609775,John P Altgeld Elementary School,669,3,661,1,0,4,Nan,Nan,Nan,Nan
609776,Hans Christian Andersen Community Academy ES,269,2,35,4,0,228,Nan,Nan,Nan,Nan
609777,Phillip D Armour Elementary School,354,39,9,7,2,297,Nan,Nan,Nan,Nan
609779,George Armstrong International Studies ES,"1,436",127,360,259,5,685,Nan,Nan,Nan,Nan
609780,Ames Middle School,740,10,66,5,1,658,Nan,Nan,Nan,Nan
609781,Crispus Attucks Elementary School,325,2,311,0,0,12,Nan,Nan,Nan,Nan
609782,John J Audubon Elementary School,482,223,36,26,7,190,Nan,Nan,Nan,Nan
609783,Nancy B Jefferson Alternative High School,370,11,305,0,1,53,Nan,Nan,Nan,Nan
609786,Avalon Park Elementary School,603,1,601,0,0,1,Nan,Nan,Nan,Nan
609787,Avondale Elementary School,704,11,37,4,1,651,Nan,Nan,Nan,Nan
609788,Alice L Barnard Computer Math & Science Ctr ES,279,2,274,0,0,3,Nan,Nan,Nan,Nan
609789,John Barry Elementary School,907,26,22,7,0,852,Nan,Nan,Nan,Nan
609790,Clara Barton Elementary School,663,1,655,0,0,7,Nan,Nan,Nan,Nan
609791,Perkins Bass Elementary School,508,0,507,0,0,1,Nan,Nan,Nan,Nan
609792,Newton Bateman Elementary School,"1,003",96,43,77,1,786,Nan,Nan,Nan,Nan
609793,Nicholson Math & Science Elementary School,405,2,402,0,0,1,Nan,Nan,Nan,Nan
609794,Thomas A Edison Regional Gifted Center ES,264,107,19,60,8,70,Nan,Nan,Nan,Nan
609795,George Rogers Clark Elementary School,313,7,200,3,0,103,Nan,Nan,Nan,Nan
609796,Jean Baptiste Beaubien Elementary School,"1,127",436,61,183,12,435,Nan,Nan,Nan,Nan
609797,Jacob Beidler Elementary School,456,3,451,1,0,1,Nan,Nan,Nan,Nan
609798,Hiram H Belding Elementary School,543,196,43,42,2,260,Nan,Nan,Nan,Nan
609799,Alexander Graham Bell Elementary School,948,514,70,113,7,244,Nan,Nan,Nan,Nan
609800,Frank I Bennett Elementary School,593,1,589,1,0,2,Nan,Nan,Nan,Nan
609803,James G Blaine Elementary School,811,364,55,74,18,300,Nan,Nan,Nan,Nan
609804,Daniel Boone Elementary School,"1,036",241,135,243,5,412,Nan,Nan,Nan,Nan
609805,Scott Joplin Elementary School,604,1,600,1,0,2,Nan,Nan,Nan,Nan
609806,Myra Bradwell Communications Arts & Sciences ES,770,0,769,0,0,1,Nan,Nan,Nan,Nan
609807,Lionel Hampton Fine & Performing Arts ES,701,9,406,0,0,286,Nan,Nan,Nan,Nan
609808,Alex Haley Elementary Academy,600,0,598,0,0,2,Nan,Nan,Nan,Nan
