SchoolID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609734.00,TAFT HS,3212.00,1554.00,73.00,0.00,6.00,1262.00,65.00,239.00,7.00,6.00
609735.00,TILDEN HS,311.00,37.00,178.00,0.00,0.00,81.00,9.00,5.00,0.00,1.00
609737.00,VON STEUBEN HS,1657.00,293.00,186.00,0.00,7.00,922.00,30.00,216.00,1.00,2.00
609738.00,LINCOLN PARK HS,2114.00,595.00,479.00,0.00,7.00,721.00,84.00,228.00,0.00,0.00
609739.00,WASHINGTON HS,1433.00,81.00,92.00,0.00,8.00,1246.00,5.00,1.00,0.00,0.00
609740.00,WELLS HS,461.00,15.00,243.00,0.00,0.00,200.00,3.00,0.00,0.00,0.00
609741.00,HUBBARD HS,1705.00,46.00,101.00,0.00,6.00,1542.00,6.00,4.00,0.00,0.00
609744.00,NORTHSIDE LEARNING HS,243.00,48.00,65.00,0.00,0.00,118.00,2.00,10.00,0.00,0.00
609745.00,SOUTHSIDE HS,222.00,12.00,163.00,0.00,0.00,46.00,0.00,1.00,0.00,0.00
609746.00,KENWOOD HS,1724.00,46.00,1461.00,1.00,4.00,80.00,44.00,52.00,1.00,35.00
609748.00,YORK HS,290.00,8.00,224.00,0.00,0.00,57.00,0.00,0.00,0.00,1.00
609749.00,NORTHSIDE PREP HS,1056.00,331.00,91.00,3.00,3.00,299.00,54.00,200.00,0.00,75.00
609750.00,SIMPSON HS,74.00,3.00,55.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00
609751.00,KING HS,695.00,5.00,640.00,0.00,0.00,32.00,5.00,13.00,0.00,0.00
609753.00,CHICAGO AGRICULTURE HS,717.00,258.00,305.00,0.00,3.00,130.00,19.00,1.00,1.00,0.00
609754.00,CHICAGO MILITARY HS,326.00,5.00,245.00,0.00,1.00,74.00,1.00,0.00,0.00,0.00
609755.00,YOUNG HS,2157.00,622.00,502.00,0.00,5.00,617.00,75.00,330.00,6.00,0.00
609756.00,CURIE HS,3050.00,72.00,386.00,0.00,13.00,2487.00,8.00,83.00,1.00,0.00
609759.00,CLEMENTE HS,766.00,19.00,208.00,0.00,4.00,528.00,6.00,1.00,0.00,0.00
609760.00,CARVER MILITARY HS,490.00,3.00,218.00,0.00,1.00,268.00,0.00,0.00,0.00,0.00
609761.00,CORLISS HS,419.00,0.00,402.00,0.00,1.00,14.00,1.00,0.00,1.00,0.00
609762.00,JULIAN HS,720.00,0.00,718.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
609764.00,JUAREZ HS,1686.00,13.00,53.00,0.00,8.00,1592.00,7.00,13.00,0.00,0.00
609766.00,VAUGHN HS,193.00,44.00,53.00,0.00,0.00,89.00,0.00,7.00,0.00,0.00
609768.00,HOPE HS,199.00,3.00,180.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00
